"","state","totalCases","totalCasesMS","notConfirmedByMS","deaths","deathsMS","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","recovered","suspects","tests","tests_per_100k_inhabitants","date","newCases","newDeaths"
"1","TOTAL",1111771,1106470,5301,51417,51271,24.46714,529.04412,0.04625,603044,702995,2782076,1323.8706,2020-06-22,23543,708
"2","AC",11539,11539,0,305,305,34.58305,1308.37307,0.02643,6187,316,26696,3026.98045,2020-06-22,158,5
"3","AL",29395,29395,0,903,903,27.05734,880.7868,0.03072,20320,3192,63310,1897.01012,2020-06-22,738,19
"4","AM",63731,63731,0,2671,2671,64.44535,1537.68871,0.04191,51398,1365,142122,3429.09093,2020-06-22,321,14
"5","AP",24862,24682,180,372,372,43.98562,2939.70541,0.01496,9521,5494,46765,5529.53599,2020-06-22,3022,13
"6","BA",47086,47086,0,1441,1441,9.68866,316.58574,0.0306,22588,101457,159343,1071.35288,2020-06-22,806,50
"7","CE",94708,94158,550,5618,5604,61.5194,1037.09145,0.05932,70809,59138,221445,2424.91358,2020-06-22,1842,95
"8","DF",34148,34148,0,449,449,14.89088,1132.50298,0.01315,21232,11349,215333,7141.42159,2020-06-22,921,26
"9","ES",36147,35784,363,1387,1362,34.51408,899.48117,0.03837,20081,10310,86374,2149.32875,2020-06-22,1281,59
"10","GO",17085,16536,549,324,311,4.61647,243.43315,0.01896,NA,45572,39302,559.98885,2020-06-22,1181,18
"11","MA",70689,70689,0,1760,1760,24.87569,999.11225,0.0249,46936,1868,134359,1899.01856,2020-06-22,630,39
"12","MG",28918,28918,0,688,688,3.25007,136.60676,0.02379,17040,101572,69532,328.46467,2020-06-22,1277,27
"13","MS",5391,5391,0,49,47,1.76323,193.99162,0.00909,2788,1187,30767,1107.13044,2020-06-22,0,2
"14","MT",10270,10021,249,394,384,11.30733,294.7367,0.03836,3319,852,15773,452.6662,2020-06-22,494,24
"15","PA",88636,86020,2616,4672,4605,54.30749,1030.30793,0.05271,71110,149,94528,1098.79674,2020-06-22,2616,67
"16","PB",37253,37253,0,784,784,19.51158,927.12351,0.02105,10213,3951,105130,2616.39316,2020-06-22,469,18
"17","PE",52494,52494,0,4252,4252,44.49062,549.2687,0.081,33497,5100,99920,1045.50861,2020-06-22,381,18
"18","PI",15269,14476,793,517,502,15.79481,466.48155,0.03386,13192,8718,91318,2789.84623,2020-06-22,793,15
"19","PR",15124,15124,0,469,469,4.10182,132.27267,0.03101,4019,8088,73422,642.1399,2020-06-22,623,18
"20","RJ",97573,97572,1,8933,8933,51.74069,565.15101,0.09155,76821,44229,103790,601.1604,2020-06-22,1440,58
"21","RN",19957,19957,0,730,730,20.81638,569.08573,0.03658,1993,24601,44493,1268.74437,2020-06-22,0,0
"22","RO",15827,15827,0,431,431,24.25129,890.54565,0.02723,5819,2355,53302,2999.17005,2020-06-22,646,14
"23","RR",8188,8188,0,251,251,41.43548,1351.68821,0.03065,2786,525,14875,2455.58892,2020-06-22,0,0
"24","RS",19710,19710,0,458,458,4.02558,173.24063,0.02324,15741,457,113189,994.87231,2020-06-22,362,24
"25","SC",17937,17937,0,256,256,3.57303,250.34935,0.01427,14377,4092,75204,1049.63329,2020-06-22,355,10
"26","SE",19384,19384,0,491,491,21.35994,843.2607,0.02533,6912,11304,41589,1809.24315,2020-06-22,399,29
"27","SP",221973,221973,0,12634,12634,27.51364,483.40069,0.05692,49295,244172,602384,1311.83901,2020-06-22,2788,46
"28","TO",8477,8477,0,178,178,11.31692,538.95246,0.021,5050,1582,17811,1132.39144,2020-06-22,0,0
