,Brazil,China,France,Germany,Iran,Italy,Spain,US
22 Jan,0,548,0,0,0,0,0,1
23 Jan,0,643,0,0,0,0,0,1
24 Jan,0,920,2,0,0,0,0,2
25 Jan,0,1406,3,0,0,0,0,2
26 Jan,0,2075,3,0,0,0,0,5
27 Jan,0,2877,3,1,0,0,0,5
28 Jan,0,5509,4,4,0,0,0,5
29 Jan,0,6087,5,4,0,0,0,5
30 Jan,0,8141,5,4,0,0,0,5
31 Jan,0,9802,5,5,0,2,0,7
01 Fev,0,11891,6,8,0,2,1,8
02 Fev,0,16630,6,10,0,2,1,8
03 Fev,0,19716,6,12,0,2,1,11
04 Fev,0,23707,6,12,0,2,1,11
05 Fev,0,27440,6,12,0,2,1,11
06 Fev,0,30587,6,12,0,2,1,11
07 Fev,0,34110,6,13,0,3,1,11
08 Fev,0,36814,11,13,0,3,1,11
09 Fev,0,39829,11,14,0,3,2,11
10 Fev,0,42354,11,14,0,3,2,11
11 Fev,0,44386,11,16,0,3,2,12
12 Fev,0,44759,11,16,0,3,2,12
13 Fev,0,59895,11,16,0,3,2,13
14 Fev,0,66358,11,16,0,3,2,13
15 Fev,0,68413,12,16,0,3,2,13
16 Fev,0,70513,12,16,0,3,2,13
17 Fev,0,72434,12,16,0,3,2,13
18 Fev,0,74211,12,16,0,3,2,13
19 Fev,0,74619,12,16,2,3,2,13
20 Fev,0,75077,12,16,5,3,2,13
21 Fev,0,75550,12,16,18,20,2,15
22 Fev,0,77001,12,16,28,62,2,15
23 Fev,0,77022,12,16,43,155,2,15
24 Fev,0,77241,12,16,61,229,2,51
25 Fev,0,77754,14,17,95,322,6,51
26 Fev,1,78166,18,27,139,453,13,57
27 Fev,1,78600,38,46,245,655,15,58
28 Fev,1,78928,57,48,388,888,32,60
29 Fev,2,79356,100,79,593,1128,45,68
01 Mar,2,79932,130,130,978,1694,84,74
02 Mar,2,80136,191,159,1501,2036,120,98
03 Mar,2,80261,204,196,2336,2502,165,118
04 Mar,4,80386,288,262,2922,3089,222,149
05 Mar,4,80537,380,482,3513,3858,259,217
06 Mar,13,80690,656,670,4747,4636,400,262
07 Mar,13,80770,959,799,5823,5883,500,402
08 Mar,20,80823,1136,1040,6566,7375,673,518
09 Mar,25,80860,1219,1176,7161,9172,1073,583
10 Mar,31,80887,1794,1457,8042,10149,1695,959
11 Mar,38,80921,2293,1908,9000,12462,2277,1281
12 Mar,52,80932,2293,2078,10075,12462,2277,1663
13 Mar,151,80945,3681,3675,11364,17660,5232,2179
14 Mar,151,80977,4496,4585,12729,21157,6391,2727
15 Mar,162,81003,4532,5795,13938,24747,7798,3499
16 Mar,200,81033,6683,7272,14991,27980,9942,4632
17 Mar,321,81058,7715,9257,16169,31506,11748,6421
18 Mar,372,81102,9124,12327,17361,35713,13910,7783
19 Mar,621,81156,10970,15320,18407,41035,17963,13747
20 Mar,793,81250,12758,19848,19644,47021,20410,19273
21 Mar,1021,81305,14463,22213,20610,53578,25374,25600
22 Mar,1546,81435,16243,24873,21638,59138,28768,33276
23 Mar,1924,81498,20123,29056,23049,63927,35136,43847
24 Mar,2247,81591,22622,32986,24811,69176,39885,53740
25 Mar,2554,81661,25600,37323,27017,74386,49515,65778
26 Mar,2985,81782,29551,43938,29406,80589,57786,83836
27 Mar,3417,81897,33402,50871,32332,86498,65719,101657
28 Mar,3904,81999,38105,57695,35408,92472,73235,121465
29 Mar,4256,82122,40708,62095,38309,97689,80110,140909
30 Mar,4579,82198,45170,66885,41495,101739,87956,161831
31 Mar,5717,82279,52827,71808,44605,105792,95923,188172
01 Abr,6836,82361,57749,77872,47593,110574,104118,213372
02 Abr,8044,82432,59929,84794,50468,115242,112065,243762
03 Abr,9056,82511,65202,91159,53183,119827,119199,275586
04 Abr,10360,82543,90848,96092,55743,124632,126168,308853
05 Abr,11130,82602,93773,100123,58226,128948,131646,337072
06 Abr,12161,82665,98963,103374,60500,132547,136675,366667
07 Abr,14034,82718,110065,107663,62589,135586,141942,396223
08 Abr,16170,82809,113959,113296,64586,139422,148220,429052
09 Abr,18092,82883,118781,118181,66220,143626,153222,461437
10 Abr,19638,82941,125931,122171,68192,147577,158273,496535
